"","country_name","country_iso2","week","category","weekly_rank","show_title","season_title","cumulative_weeks_in_top_10"
"166","South Korea","KR",2022-12-25,"Films",6,"The Swindlers","N/A",1
"167","South Korea","KR",2022-12-25,"Films",7,"Guillermo del Toro’s Pinocchio","N/A",2
"168","South Korea","KR",2022-12-25,"Films",8,"The Volcano: Rescue from Whakaari","N/A",1
"169","South Korea","KR",2022-12-25,"Films",9,"Bullet Train","N/A",1
"170","South Korea","KR",2022-12-25,"Films",10,"Troll","N/A",4
"171","South Korea","KR",2022-12-25,"TV",1,"Reborn Rich","N/A",6
"172","South Korea","KR",2022-12-25,"TV",2,"Alchemy of Souls","Alchemy of Souls: Part 2",2
"173","South Korea","KR",2022-12-25,"TV",3,"Single’s Inferno","Single’s Inferno: Season 2",2
"174","South Korea","KR",2022-12-25,"TV",4,"Alchemy of Souls","Alchemy of Souls: Part 1",16
"175","South Korea","KR",2022-12-25,"TV",5,"Money Heist: Korea - Joint Economic Area","Money Heist: Korea - Joint Economic Area: Season 1",7
"176","South Korea","KR",2022-12-25,"TV",6,"Wednesday","Wednesday: Season 1",5
"177","South Korea","KR",2022-12-25,"TV",7,"Mr. Sunshine","Mr. Sunshine: Season 1",10
"178","South Korea","KR",2022-12-25,"TV",8,"Emily in Paris","Emily in Paris: Season 3",1
"179","South Korea","KR",2022-12-25,"TV",9,"I am Solo","I am Solo: Part 9 - Part 12",24
"180","South Korea","KR",2022-12-25,"TV",10,"Missing: The Other Side","N/A",6
"181","South Korea","KR",2022-12-18,"Films",1,"Hunt","N/A",2
"182","South Korea","KR",2022-12-18,"Films",2,"Hansan: Rising Dragon - REDUX","N/A",3
"183","South Korea","KR",2022-12-18,"Films",3,"Jurassic World: Dominion","N/A",3
"184","South Korea","KR",2022-12-18,"Films",4,"Troll","N/A",3
"185","South Korea","KR",2022-12-18,"Films",5,"Guillermo del Toro’s Pinocchio","N/A",1
"186","South Korea","KR",2022-12-18,"Films",6,"The Deal","N/A",2
"187","South Korea","KR",2022-12-18,"Films",7,"Lady Chatterley's Lover","N/A",3
"188","South Korea","KR",2022-12-18,"Films",8,"The Big 4","N/A",1
"189","South Korea","KR",2022-12-18,"Films",9,"God's Crooked Lines","N/A",1
"190","South Korea","KR",2022-12-18,"Films",10,"Proud Mary","N/A",1
"191","South Korea","KR",2022-12-18,"TV",1,"Reborn Rich","N/A",5
"192","South Korea","KR",2022-12-18,"TV",2,"Money Heist: Korea - Joint Economic Area","Money Heist: Korea - Joint Economic Area: Season 1",6
"193","South Korea","KR",2022-12-18,"TV",3,"Alchemy of Souls","Alchemy of Souls: Part 2",1
"194","South Korea","KR",2022-12-18,"TV",4,"Wednesday","Wednesday: Season 1",4
"195","South Korea","KR",2022-12-18,"TV",5,"Alchemy of Souls","Alchemy of Souls: Part 1",15
"196","South Korea","KR",2022-12-18,"TV",6,"Under the Queen's Umbrella","Under the Queen's Umbrella: Season 1",9
"197","South Korea","KR",2022-12-18,"TV",7,"Single’s Inferno","Single’s Inferno: Season 2",1
"198","South Korea","KR",2022-12-18,"TV",8,"Behind Every Star","Behind Every Star: Season 1",6
"199","South Korea","KR",2022-12-18,"TV",9,"I am Solo","I am Solo: Part 9 - Part 12",23
"200","South Korea","KR",2022-12-18,"TV",10,"Tale of the Nine Tailed","N/A",2
"201","South Korea","KR",2022-12-11,"Films",1,"Hunt","N/A",1
"202","South Korea","KR",2022-12-11,"Films",2,"Hansan: Rising Dragon - REDUX","N/A",2
"203","South Korea","KR",2022-12-11,"Films",3,"Jurassic World: Dominion","N/A",2
"204","South Korea","KR",2022-12-11,"Films",4,"Troll","N/A",2
"205","South Korea","KR",2022-12-11,"Films",5,"Lady Chatterley's Lover","N/A",2
"206","South Korea","KR",2022-12-11,"Films",6,"My Name Is Vendetta","N/A",2
"207","South Korea","KR",2022-12-11,"Films",7,"The Deal","N/A",1
"208","South Korea","KR",2022-12-11,"Films",8,"Mile 22","N/A",1
"209","South Korea","KR",2022-12-11,"Films",9,"Warriors of Future","N/A",2
"210","South Korea","KR",2022-12-11,"Films",10,"Portrait of a Beauty","N/A",2
"211","South Korea","KR",2022-12-11,"TV",1,"Reborn Rich","N/A",4
"212","South Korea","KR",2022-12-11,"TV",2,"Under the Queen's Umbrella","Under the Queen's Umbrella: Season 1",8
"213","South Korea","KR",2022-12-11,"TV",3,"Wednesday","Wednesday: Season 1",3
"214","South Korea","KR",2022-12-11,"TV",4,"Money Heist: Korea - Joint Economic Area","Money Heist: Korea - Joint Economic Area: Season 1",5
"215","South Korea","KR",2022-12-11,"TV",5,"Tale of the Nine Tailed","N/A",1
"216","South Korea","KR",2022-12-11,"TV",6,"Love is for Suckers","Love is for Suckers: Season 1",1
"217","South Korea","KR",2022-12-11,"TV",7,"I am Solo","I am Solo: Part 9 - Part 12",22
"218","South Korea","KR",2022-12-11,"TV",8,"Behind Every Star","Behind Every Star: Season 1",5
"219","South Korea","KR",2022-12-11,"TV",9,"Good Job","Good Job: Season 1",2
"220","South Korea","KR",2022-12-11,"TV",10,"Hospital Playlist","Hospital Playlist: Season 2",24
"221","South Korea","KR",2022-12-04,"Films",1,"Hansan: Rising Dragon - REDUX","N/A",1
"222","South Korea","KR",2022-12-04,"Films",2,"Jurassic World: Dominion","N/A",1
"223","South Korea","KR",2022-12-04,"Films",3,"Troll","N/A",1
"224","South Korea","KR",2022-12-04,"Films",4,"My Name Is Vendetta","N/A",1
"225","South Korea","KR",2022-12-04,"Films",5,"Slumberland","N/A",2
"226","South Korea","KR",2022-12-04,"Films",6,"Lesson Plan","N/A",2
"227","South Korea","KR",2022-12-04,"Films",7,"The Noel Diary","N/A",2
"228","South Korea","KR",2022-12-04,"Films",8,"Lady Chatterley's Lover","N/A",1
"229","South Korea","KR",2022-12-04,"Films",9,"Warriors of Future","N/A",1
"230","South Korea","KR",2022-12-04,"Films",10,"Portrait of a Beauty","N/A",1
"231","South Korea","KR",2022-12-04,"TV",1,"Reborn Rich","N/A",3
"232","South Korea","KR",2022-12-04,"TV",2,"Under the Queen's Umbrella","Under the Queen's Umbrella: Season 1",7
"233","South Korea","KR",2022-12-04,"TV",3,"Wednesday","Wednesday: Season 1",2
"234","South Korea","KR",2022-12-04,"TV",4,"Good Job","Good Job: Season 1",1
"235","South Korea","KR",2022-12-04,"TV",5,"Korea No.1","Korea No.1: Season 1",1
"236","South Korea","KR",2022-12-04,"TV",6,"Behind Every Star","Behind Every Star: Season 1",4
"237","South Korea","KR",2022-12-04,"TV",7,"Somebody","Somebody: Season 1",3
"238","South Korea","KR",2022-12-04,"TV",8,"I am Solo","I am Solo: Part 9 - Part 12",21
"239","South Korea","KR",2022-12-04,"TV",9,"Birthcare Center","Birthcare Center: Brithcare Center",1
"240","South Korea","KR",2022-12-04,"TV",10,"Hospital Playlist","Hospital Playlist: Season 2",23
"241","South Korea","KR",2022-11-27,"Films",1,"Slumberland","N/A",1
"242","South Korea","KR",2022-11-27,"Films",2,"The Wonder","N/A",2
"243","South Korea","KR",2022-11-27,"Films",3,"Enola Holmes 2","N/A",4
"244","South Korea","KR",2022-11-27,"Films",4,"Falling for Christmas","N/A",3
"245","South Korea","KR",2022-11-27,"Films",5,"Lesson Plan","N/A",1
